Frame,Wheelset,Frame_Flat_Time,Frame_Climb_Time,Frame_Aero_St,Frame_Weight_St,Frame_Price,Frame_Type,Frame_Level,Wheel_Flat_Time,Wheel_Climb_Time,Wheel_Aero_St,Wheel_Weight_St,Wheel_Price,Wheel_Level,Flat_Time,Climb_Time
Pinarello Bolide TT,32mm Carbon,2999,3021,3,3,0,Standard,0,3085,2968,2,2,0,0,2986.700414327214,3029.078615880024
Spec Tarmac,32mm Carbon,3093.5,2941,2,4,0,Standard,0,3085,2968,2,2,0,0,3092.416463709901,2949.078615880047
Trek Emonda,32mm Carbon,3093.5,2938,2,4,0,Standard,0,3085,2968,2,2,0,0,3092.212760006198,2946.078615880046
Zwift Carbon,32mm Carbon,3096,2987,2,3,0,Standard,0,3085,2968,2,2,0,0,3098.984364944458,2995.0786158800574
Cann CAAD12,32mm Carbon,3095,2970.5,2,2,184500,Standard,2,3085,2968,2,2,0,0,3097.1170809938435,2978.5786158800543
Rid Helium,32mm Carbon,3094,2958,2,3,461500,Standard,3,3085,2968,2,2,0,0,3094.6201674136005,2966.078615880051
Spec Allez,32mm Carbon,3094.5,2973.5,2,2,127800,Standard,4,3085,2968,2,2,0,0,3096.7220192654486,2981.5786158800547
Spec Roub,32mm Carbon,3094,2955,2,3,461500,Standard,5,3085,2968,2,2,0,0,3094.4164637098975,2963.0786158800506
Spec Roub S-Works,32mm Carbon,3093,2946.5,2,3,745500,Standard,5,3085,2968,2,2,0,0,3092.641772351875,2954.578615880049
Spec Ruby,32mm Carbon,3094,2955,2,3,461500,Standard,5,3085,2968,2,2,0,0,3094.4164637098975,2963.0786158800506
Spec Ruby S-Works,32mm Carbon,3093.5,2946.5,2,3,745500,Standard,5,3085,2968,2,2,0,0,3093.2405377839737,2954.578615880049
Spec Tarmac SL7,32mm Carbon,3090,2958,3,3,674500,Standard,5,3085,2968,2,2,0,0,3091.397945191376,2966.078615880053
Chapter2 Tere,32mm Carbon,3093.5,2941.5,2,4,390500,Standard,6,3085,2968,2,2,0,0,3092.450414327185,2949.578615880047
Ribble End,32mm Carbon,3087,2966,3,3,390500,Standard,7,3085,2968,2,2,0,0,3088.348562475326,2974.0786158800533
Zwift Steel,32mm Carbon,3099.5,2995.5,1,2,142000,Standard,7,3085,2968,2,2,0,0,3102.635599512359,3003.5786158800565
Factor One,32mm Carbon,3084.5,2966,3,3,426000,Standard,8,3085,2968,2,2,0,0,3085.3547353148338,2974.078615880052
Focus Izalco,32mm Carbon,3082.5,2950,3,3,426000,Standard,8,3085,2968,2,2,0,0,3081.8732538333566,2958.078615880048
Giant TCR Disc,32mm Carbon,3091,2959,2,3,305300,Standard,8,3085,2968,2,2,0,0,3091.095476055577,2967.07861588005
Cann EVO,32mm Carbon,3093,2934.5,2,4,213000,Standard,9,3085,2968,2,2,0,0,3091.376340253112,2942.578615880046
Rid Noah Fast,32mm Carbon,3083.5,2964.5,3,3,426000,Standard,9,3085,2968,2,2,0,0,3084.0553525987857,2972.578615880051
